GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	114	27	16944	-0.24991	0.59867	SAMD11
ENSG00000268179	1	861264	866445	41	12	17337	-0.26666	0.60513	AL645608.1
ENSG00000188976	1	879584	894689	69	12	16742	1.0603	0.14451	NOC2L
ENSG00000187961	1	895967	901095	37	9	16741	1.0168	0.15463	KLHL17
ENSG00000187583	1	901877	911245	43	20	16885	1.7533	0.039775	PLEKHN1
ENSG00000187642	1	910579	917497	28	7	16808	2.3231	0.010086	C1orf170
ENSG00000188290	1	934342	935552	5	2	16802	-0.47301	0.6819	HES4
ENSG00000187608	1	948803	949920	8	3	16770	1.8011	0.035847	ISG15
ENSG00000188157	1	955503	991496	201	29	23112	0.8983	0.18451	AGRN
ENSG00000237330	1	1006346	1009687	11	4	46333	-1.988	0.9766	RNF223
ENSG00000131591	1	1017198	1051741	154	18	45645	-1.0319	0.84894	C1orf159
ENSG00000162571	1	1109264	1133315	150	18	31745	1.1431	0.1265	TTLL10
ENSG00000186891	1	1138888	1142071	11	2	27113	0.35798	0.36018	TNFRSF18
ENSG00000186827	1	1146706	1149518	13	5	45998	0.48267	0.31466	TNFRSF4
ENSG00000078808	1	1152288	1167411	103	6	47223	1.5967	0.055171	SDF4
ENSG00000176022	1	1167629	1170421	11	4	47715	0.17739	0.4296	B3GALT6
ENSG00000184163	1	1177826	1182102	12	3	46108	-0.61251	0.7299	FAM132A
ENSG00000160087	1	1189289	1209265	52	9	44523	2.6131	0.0044857	UBE2J2
ENSG00000162572	1	1215816	1227409	49	16	44589	2.1042	0.017681	SCNN1D
ENSG00000131584	1	1227756	1244989	80	18	33376	1.9535	0.025379	ACAP3
ENSG00000169972	1	1243947	1247057	8	5	37553	1.335	0.090935	PUSL1
ENSG00000127054	1	1246965	1260071	30	10	37459	1.4427	0.074546	CPSF3L
ENSG00000224051	1	1260136	1264277	15	4	38982	0.46101	0.3224	GLTPD1
ENSG00000169962	1	1266694	1270686	16	6	38313	0.64601	0.25914	TAS1R3
ENSG00000107404	1	1270656	1284730	40	8	41125	0.85839	0.19534	DVL1
ENSG00000162576	1	1288069	1297157	31	7	40725	0.84161	0.2	MXRA8
ENSG00000175756	1	1309110	1310875	13	5	35759	0.8759	0.19054	AURKAIP1
ENSG00000221978	1	1321091	1334708	28	9	26368	0.96983	0.16606	CCNL2
ENSG00000224870	1	1334902	1337426	11	4	37089	0.91238	0.18078	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	17	6	28875	0.99013	0.16106	MRPL20
ENSG00000235098	1	1353800	1357149	10	4	37393	0.4297	0.33371	ANKRD65
